time,value,MA,PRICE
1576022400000,27,7387,7234
1576108800000,26,7354,7197
1576195200000,26,7336,7201
1576281600000,26,7330,7247
1576368000000,26,7311,7082
1576454400000,26,7302,7109
1576540800000,25,7259,6901
1576627200000,24,7177,6627
1576713600000,23,7157,7275
1576800000000,22,7125,7153
1576886400000,22,7110,7185
1576972800000,22,7102,7142
1577059200000,23,7128,7488
1577145600000,23,7140,7335
1577232000000,23,7142,7267
1577318400000,24,7153,7204
1577404800000,26,7162,7208
1577491200000,27,7194,7248
1577577600000,29,7256,7308
1577664000000,31,7267,7394
1577750400000,32,7275,7240
1577836800000,33,7275,7195
1577923200000,35,7280,7194
1578009600000,35,7232,6964
1578096000000,37,7229,7300
1578182400000,38,7237,7351
1578268800000,38,7250,7350
1578355200000,39,7298,7735
1578441600000,40,7380,8147
1578528000000,40,7447,8046
1578614400000,41,7487,7833
1578700800000,42,7572,8181
1578787200000,42,7647,8012
1578873600000,43,7735,8171
1578960000000,45,7840,8111
1579046400000,46,7976,8802
1579132800000,48,8110,8821
1579219200000,49,8234,8721
1579305600000,50,8341,8903
1579392000000,50,8410,8907
1579478400000,51,8468,8690
1579564800000,51,8541,8631
1579651200000,51,8590,8725
1579737600000,52,8650,8665
1579824000000,51,8672,8416
1579910400000,50,8701,8432
1579996800000,49,8660,8349
1580083200000,48,8640,8596
1580169600000,48,8654,8879
1580256000000,49,8692,9321
1580342400000,49,8726,9277
1580428800000,50,8800,9510
1580515200000,50,8862,9308
1580601600000,51,8920,9363
1580688000000,52,8981,9338
1580774400000,53,9062,9309
1580860800000,54,9130,9180
1580947200000,56,9243,9592
1581033600000,57,9347,9745
1581120000000,57,9431,9799
1581206400000,57,9483,9891
1581292800000,57,9562,10148
1581379200000,56,9597,9890
1581465600000,57,9680,10227
1581552000000,57,9768,10329
1581638400000,58,9848,10221
1581724800000,59,9940,10320
1581811200000,59,10005,9894
1581897600000,58,10037,9944
1581984000000,58,10035,9724
1582070400000,57,10066,10134
1582156800000,56,10041,9618
1582243200000,55,9992,9608
1582329600000,54,9972,9673
1582416000000,53,9920,9659
1582502400000,51,9886,9947
1582588800000,49,9836,9671
1582675200000,47,9747,9345
1582761600000,45,9648,8802
1582848000000,45,9542,8781
1582934400000,43,9450,8717
1583020800000,42,9307,8553
1583107200000,42,9211,8568
1583193600000,41,9147,8906
1583280000000,41,9064,8757
1583366400000,40,8982,8759
1583452800000,40,8900,9039
1583539200000,39,8851,9136
1583625600000,38,8811,8902
1583712000000,36,8742,8041
1583798400000,34,8664,7921
1583884800000,32,8590,7907
1583971200000,30,8534,7936
1584057600000,28,8222,5143
1584144000000,25,7917,5543
1584230400000,22,7595,5214
1584316800000,19,7289,5398
1584403200000,17,6925,5033
1584489600000,14,6584,5389
1584576000000,12,6264,5376
1584662400000,11,6094,6170
1584748800000,11,5937,6196
1584835200000,10,5777,6146
1584921600000,10,5588,5860
1585008000000,10,5707,6456
1585094400000,11,5815,6730
1585180800000,11,5950,6696
1585267200000,11,6074,6766
1585353600000,11,6198,6398
1585440000000,11,6277,6255
1585526400000,11,6326,5915
1585612800000,11,6347,6403
1585699200000,11,6368,6422
1585785600000,12,6413,6641
1585872000000,12,6499,6808
1585958400000,12,6524,6733
1586044800000,12,6536,6859
1586131200000,12,6544,6788
1586217600000,13,6593,7298
1586304000000,14,6665,7197
1586390400000,15,6764,7342
1586476800000,15,6890,7294
1586563200000,15,6932,6865
1586649600000,15,6973,6879
1586736000000,15,6998,6913
1586822400000,15,7002,6858
1586908800000,16,7014,6860
1586995200000,16,6993,6629
1587081600000,16,7018,7060
1587168000000,16,6994,7035
1587254400000,15,6998,7243
1587340800000,15,6978,7128
1587427200000,15,6939,6856
1587513600000,15,6937,6842
1587600000000,16,6958,7110
1587686400000,17,7000,7383
1587772800000,18,7058,7495
1587859200000,18,7120,7539
1587945600000,19,7216,7684
1588032000000,20,7281,7774
1588118400000,21,7347,7758
1588204800000,24,7483,8744
1588291200000,26,7618,8611
1588377600000,28,7797,8825
1588464000000,30,7990,8966
1588550400000,33,8152,8889
1588636800000,34,8288,8884
1588723200000,36,8425,9003
1588809600000,39,8571,9145
1588896000000,41,8778,9959
1588982400000,44,8964,9822
1589068800000,46,9129,9567
1589155200000,45,9129,8753
1589241600000,45,9129,8605
1589328000000,45,9126,8788
1589414400000,45,9154,9283
1589500800000,45,9237,9796
1589587200000,45,9275,9309
1589673600000,45,9309,9375
1589760000000,45,9357,9666
1589846400000,44,9334,9708
1589932800000,44,9328,9760
1590019200000,44,9325,9527
1590105600000,44,9353,9060
1590192000000,44,9401,9132
1590278400000,45,9435,9170
1590364800000,45,9385,8732
